Candidate_Name,Candidate_Skills,Candidate_Exp_Level,Rank,Job_Title,Company,Location,Required_Skills,Job_Exp_Level,Salary,Industry,Skill_Similarity,Final_Score
Tara Gonzalez,"python, machine learning, numpy, scikit-learn, sql",Entry Level,1,"Engineer, agricultural",Anderson-Bates,Sydney,"machine learning, python, sql",Entry Level,112000.0,Software,0.464,0.4094
Tara Gonzalez,"python, machine learning, numpy, scikit-learn, sql",Entry Level,2,"Programmer, applications",Miller Group,Bangalore,"machine learning, python, sql",Entry Level,50000.0,Software,0.464,0.4094
Tara Gonzalez,"python, machine learning, numpy, scikit-learn, sql",Entry Level,3,Diplomatic Services operational officer,Garrett Ltd,Toronto,"machine learning, sql, python",Entry Level,118000.0,Software,0.464,0.4094
Jared Quinn,"numpy, scikit-learn, statistics, tensorflow, machine learning",Mid Level,1,Research scientist (physical sciences),Gonzalez Group,Bangalore,machine learning,Mid Level,93000.0,Software,0.2426,0.2212
Jared Quinn,"numpy, scikit-learn, statistics, tensorflow, machine learning",Mid Level,2,Chartered accountant,Perry Ltd,Berlin,machine learning,Mid Level,109000.0,Software,0.2426,0.2212
Jared Quinn,"numpy, scikit-learn, statistics, tensorflow, machine learning",Mid Level,3,Adult guidance worker,Howell-Ellis,Berlin,machine learning,Mid Level,86000.0,Software,0.2426,0.2212
Jane Woods,"tensorflow, python, numpy, machine learning, nlp",Mid Level,1,Analytical chemist,Clarke and Sons,San Francisco,"machine learning, python",Mid Level,56000.0,Software,0.3457,0.3088
Jane Woods,"tensorflow, python, numpy, machine learning, nlp",Mid Level,2,Human resources officer,Sullivan Inc,London,"python, machine learning",Mid Level,102000.0,Software,0.3457,0.3088
Jane Woods,"tensorflow, python, numpy, machine learning, nlp",Mid Level,3,Estate manager/land agent,Hayes LLC,Toronto,"python, machine learning",Mid Level,93000.0,Software,0.3457,0.3088
Julie Chambers,"scikit-learn, statistics, data visualization, numpy, sql",Entry Level,1,Museum/gallery curator,Meyer and Sons,Sydney,sql,Entry Level,46000.0,Software,0.1914,0.1777
Julie Chambers,"scikit-learn, statistics, data visualization, numpy, sql",Entry Level,2,"Designer, jewellery",Powell-May,Toronto,sql,Entry Level,103000.0,Software,0.1914,0.1777
Julie Chambers,"scikit-learn, statistics, data visualization, numpy, sql",Entry Level,3,Barrister's clerk,Jones-Brown,San Francisco,sql,Entry Level,50000.0,Finance,0.1914,0.1777
Tonya Campbell,"python, numpy, sql, statistics, pandas",Entry Level,1,"Therapist, music","Webb, Gray and Navarro",Sydney,"python, sql",Entry Level,142000.0,Software,0.3005,0.2704
Tonya Campbell,"python, numpy, sql, statistics, pandas",Entry Level,2,"Therapist, occupational","Barnett, Williams and Walker",London,"sql, python",Entry Level,54000.0,Finance,0.3005,0.2704
Tonya Campbell,"python, numpy, sql, statistics, pandas",Entry Level,3,Leisure centre manager,"Jackson, Turner and Lewis",Toronto,"sql, python",Entry Level,124000.0,Software,0.3005,0.2704
Aaron Rodriguez,"machine learning, data visualization, sql, python, pandas",Entry Level,1,"Engineer, agricultural",Anderson-Bates,Sydney,"machine learning, python, sql",Entry Level,112000.0,Software,0.4625,0.4082
Aaron Rodriguez,"machine learning, data visualization, sql, python, pandas",Entry Level,2,"Programmer, applications",Miller Group,Bangalore,"machine learning, python, sql",Entry Level,50000.0,Software,0.4625,0.4082
Aaron Rodriguez,"machine learning, data visualization, sql, python, pandas",Entry Level,3,Diplomatic Services operational officer,Garrett Ltd,Toronto,"machine learning, sql, python",Entry Level,118000.0,Software,0.4625,0.4082
Louis Williams,"tensorflow, python, pandas, scikit-learn, statistics",Mid Level,1,"Psychologist, counselling",Williams Group,Sydney,python,Mid Level,143000.0,Finance,0.1898,0.1763
Louis Williams,"tensorflow, python, pandas, scikit-learn, statistics",Mid Level,2,Field seismologist,Morris-Griffin,New York,python,Mid Level,99000.0,Finance,0.1898,0.1763
Louis Williams,"tensorflow, python, pandas, scikit-learn, statistics",Mid Level,3,Risk manager,Murphy-Reynolds,Bangalore,python,Mid Level,55000.0,Finance,0.1898,0.1763
Jason Calhoun,"nlp, data visualization, numpy, sql, tensorflow",Mid Level,1,Radiation protection practitioner,"Jones, Rojas and Jackson",San Francisco,sql,Mid Level,54000.0,Finance,0.193,0.1791
Jason Calhoun,"nlp, data visualization, numpy, sql, tensorflow",Mid Level,2,Primary school teacher,Peterson Inc,London,sql,Mid Level,106000.0,Finance,0.193,0.1791
Jason Calhoun,"nlp, data visualization, numpy, sql, tensorflow",Mid Level,3,Speech and language therapist,Rivera-French,Bangalore,sql,Mid Level,65000.0,Software,0.193,0.1791
Nicole Martinez,"statistics, scikit-learn, data visualization, nlp, machine learning",Entry Level,1,Science writer,Young-Brown,Bangalore,machine learning,Entry Level,74000.0,Software,0.2441,0.2225
Nicole Martinez,"statistics, scikit-learn, data visualization, nlp, machine learning",Entry Level,2,Automotive engineer,"Avila, Harris and Hudson",Sydney,machine learning,Entry Level,60000.0,Software,0.2441,0.2225
Nicole Martinez,"statistics, scikit-learn, data visualization, nlp, machine learning",Entry Level,3,Radio producer,"Elliott, King and Smith",Berlin,machine learning,Entry Level,91000.0,Software,0.2441,0.2225
Renee Oliver,,Entry Level,1,"Psychotherapist, dance movement",Barker Group,Sydney,"nursing, medical research, pharmaceuticals",Entry Level,112000.0,Healthcare,0.0,0.015
Renee Oliver,,Entry Level,2,Academic librarian,Clark Ltd,London,pharmaceuticals,Entry Level,104000.0,Healthcare,0.0,0.015
Renee Oliver,,Entry Level,3,Quantity surveyor,Dean-Delacruz,Sydney,"java, python",Entry Level,123000.0,Software,0.0,0.015
Stephanie Smith,"statistics, python, numpy, machine learning, nlp",Mid Level,1,Analytical chemist,Clarke and Sons,San Francisco,"machine learning, python",Mid Level,56000.0,Software,0.3447,0.308
Stephanie Smith,"statistics, python, numpy, machine learning, nlp",Mid Level,2,Human resources officer,Sullivan Inc,London,"python, machine learning",Mid Level,102000.0,Software,0.3447,0.308
