Candidate_Name,Candidate_Skills,Candidate_Exp_Level,Rank,Job_Title,Company,Location,Required_Skills,Job_Exp_Level,Salary,Industry,Skill_Similarity,Final_Score,Skill_Overlap_Ratio,Level_Match
Tara Gonzalez,"python, machine learning, numpy, scikit-learn, sql",Entry Level,1,"Engineer, agricultural",Anderson-Bates,Sydney,"machine learning, python, sql",Entry Level,112000.0,Software,0.464,0.4094,1.0,True
Tara Gonzalez,"python, machine learning, numpy, scikit-learn, sql",Entry Level,2,"Programmer, applications",Miller Group,Bangalore,"machine learning, python, sql",Entry Level,50000.0,Software,0.464,0.4094,1.0,True
Tara Gonzalez,"python, machine learning, numpy, scikit-learn, sql",Entry Level,3,Diplomatic Services operational officer,Garrett Ltd,Toronto,"machine learning, sql, python",Entry Level,118000.0,Software,0.464,0.4094,1.0,True
Jared Quinn,"numpy, scikit-learn, statistics, tensorflow, machine learning",Mid Level,1,Research scientist (physical sciences),Gonzalez Group,Bangalore,machine learning,Mid Level,93000.0,Software,0.2426,0.2212,1.0,True
Jared Quinn,"numpy, scikit-learn, statistics, tensorflow, machine learning",Mid Level,2,Chartered accountant,Perry Ltd,Berlin,machine learning,Mid Level,109000.0,Software,0.2426,0.2212,1.0,True
Jared Quinn,"numpy, scikit-learn, statistics, tensorflow, machine learning",Mid Level,3,Adult guidance worker,Howell-Ellis,Berlin,machine learning,Mid Level,86000.0,Software,0.2426,0.2212,1.0,True
Jane Woods,"tensorflow, python, numpy, machine learning, nlp",Mid Level,1,Analytical chemist,Clarke and Sons,San Francisco,"machine learning, python",Mid Level,56000.0,Software,0.3457,0.3088,1.0,True
Jane Woods,"tensorflow, python, numpy, machine learning, nlp",Mid Level,2,Human resources officer,Sullivan Inc,London,"python, machine learning",Mid Level,102000.0,Software,0.3457,0.3088,1.0,True
Jane Woods,"tensorflow, python, numpy, machine learning, nlp",Mid Level,3,Estate manager/land agent,Hayes LLC,Toronto,"python, machine learning",Mid Level,93000.0,Software,0.3457,0.3088,1.0,True
Julie Chambers,"scikit-learn, statistics, data visualization, numpy, sql",Entry Level,1,Museum/gallery curator,Meyer and Sons,Sydney,sql,Entry Level,46000.0,Software,0.1914,0.1777,1.0,True
Julie Chambers,"scikit-learn, statistics, data visualization, numpy, sql",Entry Level,2,"Designer, jewellery",Powell-May,Toronto,sql,Entry Level,103000.0,Software,0.1914,0.1777,1.0,True
Julie Chambers,"scikit-learn, statistics, data visualization, numpy, sql",Entry Level,3,Barrister's clerk,Jones-Brown,San Francisco,sql,Entry Level,50000.0,Finance,0.1914,0.1777,1.0,True
Tonya Campbell,"python, numpy, sql, statistics, pandas",Entry Level,1,"Therapist, music","Webb, Gray and Navarro",Sydney,"python, sql",Entry Level,142000.0,Software,0.3005,0.2704,1.0,True
Tonya Campbell,"python, numpy, sql, statistics, pandas",Entry Level,2,"Therapist, occupational","Barnett, Williams and Walker",London,"sql, python",Entry Level,54000.0,Finance,0.3005,0.2704,1.0,True
